scheduler,seed,tasks,arrival_mode,card_cv,card_jfi,max_min_ratio,avg_load_imbalance,completion_rate,throughput,flat_pct,bursty_pct
drf,123,800,poisson,0.8401203914475179,0.601680212400095,22.949804688460468,71743528158.80794,1.0,1.556420233463035,50,50
drf,2024,800,poisson,0.8612297477621731,0.5909244572137967,27.46999594086251,74200611871.24893,1.0,1.5533980582524272,50,50
drf,21,800,poisson,1.0292588313265247,0.5101316532567011,35.3098770384558,94461559473.16136,1.0,1.556420233463035,25,75
drf,42,800,poisson,1.0001942512752384,0.5223995817213458,33.67866687923412,89437724600.0499,1.0,1.5594541910331383,25,75
drf,99,800,poisson,1.0234518133634762,0.5119244546455437,34.449533324487454,96168476142.50179,1.0,1.5533980582524272,25,75
drf,123,800,poisson,1.027902018890328,0.5091974487024759,32.99682091112765,93193201428.31584,1.0,1.556420233463035,25,75
drf,2024,800,poisson,1.0382998960607246,0.5055347337191043,34.58194842958547,95349802945.15083,1.0,1.5533980582524272,25,75
drf,21,800,poisson,1.0176592466495333,0.5332412243690545,39.01373544603986,121552269859.20906,1.0,1.556420233463035,0,100
drf,42,800,poisson,0.9534142950972212,0.5614703524359439,37.722306475998515,112831189155.6605,1.0,1.5594541910331383,0,100
drf,99,800,poisson,1.0168956578111736,0.5323357958810416,39.095301073285015,118453117661.17915,1.0,1.5533980582524272,0,100
drf,123,800,poisson,0.9989818890182464,0.5423979706425726,38.33132306884068,112988326921.05107,1.0,1.556420233463035,0,100
drf,2024,800,poisson,1.048962687581884,0.5203920012125214,41.46127858163224,123748522196.12682,1.0,1.5533980582524272,0,100
p2c,21,800,poisson,0.7096277342778626,0.6766894861766217,2.62545448735151,46202156249.99172,1.0,1.556420233463035,100,0
p2c,42,800,poisson,0.6906649895313287,0.6861586517128873,2.599292436389695,48008159831.74037,1.0,1.5594541910331383,100,0
p2c,99,800,poisson,0.6952111066532363,0.6839863811990627,2.593335519242157,47298740383.58381,1.0,1.5533980582524272,100,0
p2c,123,800,poisson,0.6982780296248247,0.6816579813049604,2.670692546846589,45972097909.57799,1.0,1.556420233463035,100,0
