scheduler,seed,cards,tasks,arrival_mode,base_algo,phase_enabled,pair_base_scheduler,pair_phase_scheduler,bw_max,d_max,card_cv,median_card_cv,p95_card_cv,std_card_cv,card_jfi,card_lif,max_min_ratio,completion_rate,throughput,throughput_excl_cold,mean_cold_start,p99_delay,p99_delay_excl_cold,avg_delay,avg_delay_excl_cold,mean_start_offset,p95_start_offset,reject_rate_bw,avg_congestion_ratio,mean_congestion_wait_ticks,time_card_cv_demand_mean,time_card_lif_demand_mean,time_card_lif_served_mean
rr,99,16,1600,bursty,RR,False,rr,rr-phase,900000.0,16,0.9200893496250488,0.8938958185436191,1.4761172813627592,0.3001873446226643,0.5594699574588823,3.2053225608002163,45.470516996346355,1.0,3.0360531309297913,3.0360531309297913,0.0,15.0,15.0,5.28375,5.28375,0.0,0.0,0.0,0.049375769124702915,0.855,1.5379639090642172,7.934423148315878,2.9426137976863034
rr-phase,21,16,1600,bursty,RR,True,rr,rr-phase,900000.0,16,0.7054259066616474,0.6389836832521147,1.2435692848963507,0.3040184047812684,0.6819919845931274,2.6527840933799376,19.56327906739224,0.856875,2.596590909090909,2.6134146612757014,3.398978847556528,23.0,15.0,9.059810357403355,5.660831509846827,3.398978847556528,11.0,0.143125,0.0,0.0,0.7756212017657291,3.5313589228075215,3.5313589228075215
p2c,99,16,1600,poisson,P2C,False,p2c,p2c-phase,900000.0,16,0.9884575564020547,0.9649437355289123,1.2572404954650165,0.1422010092991566,0.5107089644805355,3.0164637977332682,27.154297834258394,1.0,3.0476190476190474,3.0476190476190474,0.0,15.0,15.0,5.28,5.28,0.0,0.0,0.0,0.05012088826848461,0.964375,1.5668742705391,8.65572025634903,2.9707893253880933
p2c-phase,42,16,1600,poisson,P2C,True,p2c,p2c-phase,900000.0,16,0.7757300617662443,0.7526304169742767,1.0662858185637085,0.1626793762070678,0.6293380068425455,2.7738259762646322,20.17870549692021,0.84375,2.5139664804469275,2.533100570694702,4.0562962962962965,28.0,15.0,9.75851851851852,5.702222222222222,4.0562962962962965,13.0,0.15625,0.0,0.0,0.8078922659777235,3.6068966831283324,3.6068966831283324
p2c-phase,99,16,1600,poisson,P2C,True,p2c,p2c-phase,900000.0,16,0.7501913828216671,0.7556307093795274,1.0119670452158054,0.15208321655940504,0.6434975879903329,2.7189591471708194,21.411878262217297,0.845,2.5176908752327747,2.5363108337241607,3.9423076923076925,28.0,15.0,9.640532544378699,5.6982248520710055,3.9423076923076925,13.0,0.155,0.0,0.0,0.7848085857513634,3.5193965152228803,3.5193965152228803
p2c,2024,16,1600,poisson,P2C,False,p2c,p2c-phase,900000.0,16,1.0069843170525719,0.9927914351878429,1.2636379826777444,0.1476601070600003,0.5018090781931235,3.046404672434249,26.154016058599744,1.0,3.0476190476190474,3.0476190476190474,0.0,15.0,15.0,5.28,5.28,0.0,0.0,0.0,0.04887215736168429,0.955,1.573907983452476,8.717652893528733,2.986801494230029
rr-phase,123,16,1600,bursty,RR,True,rr,rr-phase,900000.0,16,0.6187842427883425,0.5885556450801517,1.002395485899478,0.21695174876466913,0.7272448825788074,2.5183813305259575,17.87773177401315,0.855625,2.5879017013232515,2.602694126387857,3.006574141709277,23.0,15.0,8.671292914536158,5.664718772826881,3.006574141709277,10.0,0.144375,0.0,0.0,0.6850318659303158,3.519976123246688,3.519976123246688
p2c,123,16,1600,poisson,P2C,False,p2c,p2c-phase,900000.0,16,1.0045332183554447,0.9937869401255641,1.2591613971478262,0.14954810998031987,0.5031580065782403,3.057657590894446,30.09454528098371,1.0,3.0476190476190474,3.0476190476190474,0.0,15.0,15.0,5.28,5.28,0.0,0.0,0.0,0.047468729292727704,0.91625,1.544761618388538,8.262401130138993,3.002710069602718
rr-phase,99,16,1600,bursty,RR,True,rr,rr-phase,900000.0,16,0.6388722212011387,0.6157160778312956,1.0037712857467056,0.21016025225890947,0.7138973738985931,2.609311426595165,20.308347697125402,0.856875,2.586792452830189,2.602274379176721,3.1531728665207877,23.0,15.0,8.814004376367615,5.660831509846827,3.1531728665207877,11.0,0.143125,0.0,0.0,0.6967823529676168,3.514466815671055,3.514466815671055
rr-phase,42,16,1600,bursty,RR,True,rr,rr-phase,900000.0,16,0.6750862505083027,0.6264777000399686,1.1516853184199791,0.23881257326661537,0.6942658359774341,2.686083400998806,19.420924166881054,0.85625,2.546468401486989,2.5615444875409774,3.1664233576642338,24.0,15.0,8.826277372262775,5.65985401459854,3.1664233576642338,11.0,0.14375,0.0,0.0,0.7282871735236889,3.7187739260305124,3.7187739260305124
p2c-phase,123,16,1600,poisson,P2C,True,p2c,p2c-phase,900000.0,16,0.7940479863092146,0.7839197884729024,1.0413266237285488,0.1399782835153334,0.6171294070424758,2.832451670239774,20.774531770810803,0.84625,2.5308411214953273,2.5496398715525648,3.9446085672082716,26.0,15.0,9.629985228951256,5.685376661742984,3.9446085672082716,13.0,0.15375,0.0,0.0,0.8226369498556709,3.5884849282299855,3.5884849282299855
p2c-phase,21,16,1600,poisson,P2C,True,p2c,p2c-phase,900000.0,16,0.7914516302519786,0.7838332457403537,1.078218094017784,0.15730398405110804,0.6197273073310775,2.7901098335756194,21.65620279946048,0.845625,2.533707865168539,2.5530082003793373,4.036954915003696,27.0,15.0,9.724316334072432,5.687361419068736,4.036954915003696,13.0,0.154375,0.0,0.0,0.8204780293635403,3.6145276894694836,3.6145276894694836
rr,2024,16,1600,bursty,RR,False,rr,rr-phase,900000.0,16,0.9650207116365269,0.9179290942411299,1.6248608704270362,0.3689066394276447,0.543044372984785,3.365439307568052,37.11393222354703,1.0,3.053435114503817,3.053435114503817,0.0,15.0,15.0,5.321875,5.321875,0.0,0.0,0.0,0.050960045529030794,1.01625,1.5658174633182977,8.146800670052485,2.980755761128389
rr,21,16,1600,bursty,RR,False,rr,rr-phase,900000.0,16,0.9575356835763752,0.9173051122718932,1.659961570087432,0.38603585928783357,0.5513329180807823,3.3505056873594508,38.50601795204299,1.0,3.041825095057034,3.041825095057034,0.0,15.0,15.0,5.28125,5.28125,0.0,0.0,0.0,0.05052397530906919,0.874375,1.5464928414417027,8.105575554912527,2.937108411503717
rr,42,16,1600,bursty,RR,False,rr,rr-phase,900000.0,16,0.9596683821706521,0.9259991026761882,1.5356477387231753,0.31289311690674987,0.5419282618217792,3.3632580092398587,41.06338056864312,1.0,3.0476190476190474,3.0476190476190474,0.0,15.0,15.0,5.2825,5.2825,0.0,0.0,0.0,0.04497109124349937,0.858125,1.5554068974781299,8.143296949978115,3.0857481764743127
stps-spatial,2024,16,1600,poisson,STPS-spatial,False,stps-spatial,stps,900000.0,16,0.8196332786415809,0.7971163542599233,1.0576720111751707,0.13459566689146815,0.6020673050128591,2.9969741146078697,34.510499052516316,1.0,3.0476190476190474,3.0476190476190474,0.0,15.0,15.0,5.28,5.28,0.0,0.0,0.0,0.037059937394664684,0.61375,1.3157366585618333,6.752520687273473,2.96453771723814
stps-spatial,99,16,1600,poisson,STPS-spatial,False,stps-spatial,stps,900000.0,16,0.8048535851949624,0.7933969165520136,1.0252442439933727,0.12130582615493207,0.6099157888301936,2.9389315070466777,31.34128831603834,1.0,3.0476190476190474,3.0476190476190474,0.0,15.0,15.0,5.28,5.28,0.0,0.0,0.0,0.03857597922020594,0.635,1.296939270018846,6.711830380656787,2.8900581991383882
stps-spatial,123,16,1600,poisson,STPS-spatial,False,stps-spatial,stps,900000.0,16,0.8124077956933158,0.7987543379659163,1.0669826436849763,0.1383885229078085,0.6063043485176232,2.9464013990892255,30.986702428583754,1.0,3.0476190476190474,3.0476190476190474,0.0,15.0,15.0,5.28,5.28,0.0,0.0,0.0,0.037693560002394606,0.641875,1.2976647649072444,6.77302811960304,2.9772783416135207
stps-spatial,21,16,1600,poisson,STPS-spatial,False,stps-spatial,stps,900000.0,16,0.8181512256098525,0.7963149407323684,1.0762375146586416,0.15277510110297784,0.604021555541109,2.9676994098409173,33.20753435775725,1.0,3.0476190476190474,3.0476190476190474,0.0,15.0,15.0,5.28,5.28,0.0,0.0,0.0,0.038369962798039524,0.649375,1.32408079582415,6.635151508606402,2.911364415776421
stps-spatial,42,16,1600,poisson,STPS-spatial,False,stps-spatial,stps,900000.0,16,0.8081628024459363,0.7977408019186096,1.0735958677055224,0.1385288646455112,0.6089062831649115,2.9256107692090505,32.37003921042288,1.0,3.053435114503817,3.053435114503817,0.0,15.0,15.0,5.28,5.28,0.0,0.0,0.0,0.03733785691851245,0.62125,1.2990067663208595,6.42789541035695,2.9156199177478532
stps,2024,16,1600,poisson,STPS-spatial,True,stps-spatial,stps,900000.0,16,0.7439951909308965,0.7576828739842834,0.9119258075047381,0.11386309655212316,0.6455164637804608,2.796421468447198,37.12653201056817,1.0,2.9906542056074765,3.0199790488953484,5.195,30.0,15.0,10.475,5.28,5.195,15.0,0.0,0.0345462762445818,0.541875,1.2174250888362979,6.010606031567427,2.9203961009660833
